ID,Dataset,Gender,ethnicity_census,Handedness,Age,AgeMonths,LCA_SEP,weighted_mean_track,weighted_mean_aim,weighted_mean_steer,ethnicity,ethnicity_3gp
31,SS,Male,5,Right,5,64,Employed not mat dep,-1.21392768,-1.41714562,-0.496503039,Asian/Asian British,Pakistani
32,PSY,Female,5,Right,8,99,Benefits but coping,0.389548215,0.766286324,-0.514390508,Asian/Asian British,Pakistani
33,SS,Female,5,Right,5,64,Benefits but coping,-0.19155849,-0.229709912,-1.981204537,Asian/Asian British,Pakistani
34,PSY,Male,9,Right,8,104,Employed not mat dep,0.690234072,0.676114974,0.189143556,Asian/Asian British,Other
35,SS,Male,9,Right,5,61,Employed not mat dep,0.143078161,-2.315191241,-3.805813654,Asian/Asian British,Other
36,PSY,Male,5,Right,7,93,Benefits but coping,0.022245696,1.349660814,0.104872835,Asian/Asian British,Pakistani
37,SS,Male,5,Right,4,57,Benefits but coping,-1.990477729,-1.819273515,-1.005786458,Asian/Asian British,Pakistani
38,PSY,Female,5,Left,8,102,Benefits but coping,-0.335780306,-1.371655366,-0.366885112,Asian/Asian British,Pakistani
39,PSY,Male,5,Right,8,107,Employed not mat dep,0.380990195,0.368902222,0.312250789,Asian/Asian British,Pakistani
40,SS,Male,5,Right,5,63,Employed not mat dep,-0.04018334,-0.686502493,-0.273696494,Asian/Asian British,Pakistani
41,PSY,Male,5,Right,8,96,Most dep,0.592883269,0.62826413,0.254874372,Asian/Asian British,Pakistani
42,PSY,Male,5,Right,8,98,Employed not mat dep,0.319078906,0.337881766,0.32644387,Asian/Asian British,Pakistani
43,PSY,Female,5,Right,8,99,Least dep and most educated,0.520449323,0.309554548,0.267639074,Asian/Asian British,Pakistani
44,PSY,Female,5,Right,7,95,Employed not mat dep,-0.167166427,0.088596403,0.241827067,Asian/Asian British,Pakistani
45,PSY,Female,5,Right,8,100,Benefits but coping,0.30021355,0.14945293,0.194833651,Asian/Asian British,Pakistani
46,PSY,Female,5,Right,8,104,Benefits but coping,-0.968975577,-1.316904141,-0.146251723,Asian/Asian British,Pakistani
47,SS,Female,5,Right,5,60,Benefits but coping,-1.214223986,NA,-0.88629084,Asian/Asian British,Pakistani
48,PSY,Female,5,Right,8,104,Employed no access to money,0.056035191,NA,0.100619049,Asian/Asian British,Pakistani
49,SS,Female,5,Right,5,60,Employed no access to money,-0.628833105,-1.891563185,0.015276021,Asian/Asian British,Pakistani
50,PSY,Female,5,Right,8,107,Employed not mat dep,0.315203422,0.533118122,0.280945262,Asian/Asian British,Pakistani
51,SS,Female,5,Right,5,63,Employed not mat dep,-0.371438606,0.012750568,0.173048503,Asian/Asian British,Pakistani
52,PSY,Male,5,Right,7,90,Benefits but coping,-0.210078326,-0.180410372,0.181779261,Asian/Asian British,Pakistani
53,SS,Male,5,Right,4,55,Benefits but coping,-0.404789541,-0.501488912,0.083611953,Asian/Asian British,Pakistani
54,PSY,Male,5,Right,8,97,Benefits but coping,-0.017123197,0.636179642,-0.377296564,Asian/Asian British,Pakistani
55,SS,Male,5,Right,5,62,Benefits but coping,-2.144564516,NA,-0.462112401,Asian/Asian British,Pakistani
56,PSY,Male,5,Right,8,107,Benefits but coping,0.118164557,-0.457709516,0.096757503,Asian/Asian British,Pakistani
57,SS,Male,5,Right,5,63,Benefits but coping,-2.086278027,NA,-0.742227402,Asian/Asian British,Pakistani
58,PSY,Male,5,Right,8,105,Benefits but coping,0.637082624,0.159451224,0.399412905,Asian/Asian British,Pakistani
59,SS,Male,5,Right,5,61,Benefits but coping,-0.286174036,-0.68960603,-0.240482934,Asian/Asian British,Pakistani
60,PSY,Male,5,Right,8,98,Benefits but coping,0.581533201,0.318974052,0.086836537,Asian/Asian British,Pakistani
61,SS,Male,5,Right,5,63,Benefits but coping,-1.135872636,-0.588394213,-3.98015581,Asian/Asian British,Pakistani
62,PSY,Male,5,Right,8,107,Least dep and most educated,0.116027837,-0.586339665,0.203028446,Asian/Asian British,Pakistani
63,SS,Male,5,Right,5,63,Least dep and most educated,-0.147216508,-2.035385863,0.058960305,Asian/Asian British,Pakistani
64,PSY,Female,5,Right,8,102,Benefits but coping,0.408230369,0.267383556,0.107016319,Asian/Asian British,Pakistani
65,SS,Female,5,Right,5,65,Benefits but coping,-0.71352803,-1.595451425,0.121308977,Asian/Asian British,Pakistani
66,PSY,Male,5,Right,8,99,Benefits but coping,0.6927082,0.572669245,0.105212134,Asian/Asian British,Pakistani
67,PSY,Male,19,Right,8,106,Benefits but coping,0.582431525,0.817131759,-0.083224965,NA,NA
68,PSY,Female,19,Right,8,107,Benefits but coping,0.480006393,0.480873677,0.339034667,NA,NA
69,PSY,Male,19,Right,8,107,Benefits but coping,-0.123175846,0.463538192,0.35559585,NA,NA
70,PSY,Male,5,Right,8,104,Benefits but coping,-0.250382198,-0.444802193,-0.332179735,Asian/Asian British,Pakistani
71,SS,Male,5,Right,4,56,Benefits but coping,-3.627670534,NA,NA,Asian/Asian British,Pakistani
72,PSY,Female,5,Right,8,97,Most dep,0.370438949,0.462469079,0.2576194,Asian/Asian British,Pakistani
73,PSY,Female,5,Right,8,98,Employed no access to money,0.738600845,0.624404997,0.141131183,Asian/Asian British,Pakistani
74,PSY,Female,5,Left,7,95,Employed not mat dep,0.441991265,0.48817891,0.401724286,Asian/Asian British,Pakistani
75,PSY,Male,10,Right,7,92,Least dep and most educated,0.370927612,0.055477895,-0.045014339,Black/Black British,Other
76,PSY,Female,5,Right,8,106,Employed not mat dep,0.549685171,0.52575012,0.355703962,Asian/Asian British,Pakistani
77,SS,Female,5,Right,4,58,Employed not mat dep,-0.352466823,-1.310747493,-0.10227346,Asian/Asian British,Pakistani
78,PSY,Male,5,Right,8,101,Benefits but coping,0.602473982,0.820226273,0.325423583,Asian/Asian British,Pakistani
79,SS,Male,5,Right,4,53,Benefits but coping,-2.174892221,-0.890256164,-0.101553128,Asian/Asian British,Pakistani
80,PSY,Male,5,Right,8,106,Least dep and most educated,0.263393184,0.620458939,0.232623948,Asian/Asian British,Pakistani
81,SS,Male,5,Right,4,58,Least dep and most educated,-1.402474407,NA,-0.236377564,Asian/Asian British,Pakistani
82,PSY,Female,5,Right,8,100,Least dep and most educated,0.502044598,0.344457422,0.225404911,Asian/Asian British,Pakistani
83,PSY,Female,5,Right,9,110,Least dep and most educated,0.529759319,0.559477314,0.346651974,Asian/Asian British,Pakistani
84,SS,Female,5,Right,5,61,Least dep and most educated,-0.178835085,-0.049109529,0.216230006,Asian/Asian British,Pakistani
85,PSY,Female,5,Right,9,108,Benefits but coping,0.760825881,0.39115225,0.29439417,Asian/Asian British,Pakistani
86,SS,Female,5,Right,5,60,Benefits but coping,-0.220528346,-1.278092422,0.094621705,Asian/Asian British,Pakistani
87,PSY,Female,1,Right,8,98,Benefits but coping,0.720484487,0.365938746,0.115194014,White,White British
88,PSY,Female,13,Right,7,92,Most dep,-0.035765761,-0.139728671,-0.095595646,Mixed,Other
89,PSY,Male,5,Right,8,99,Benefits but coping,0.6019867,0.434321792,0.209576001,Asian/Asian British,Pakistani
90,SS,Male,5,Right,4,51,Benefits but coping,-0.513907144,-1.582618818,-0.448823131,Asian/Asian British,Pakistani
91,PSY,Male,5,Right,8,98,Employed not mat dep,0.552990981,0.301060001,0.245924262,Asian/Asian British,Pakistani
92,PSY,Female,5,Right,7,88,Benefits but coping,0.378702502,NA,0.288567986,Asian/Asian British,Pakistani
93,PSY,Male,5,Right,7,93,Benefits but coping,0.520798793,0.825839896,0.385446733,Asian/Asian British,Pakistani
94,PSY,Male,5,Right,8,101,Employed not mat dep,-0.505074296,0.502485249,0.070965833,Asian/Asian British,Pakistani
95,SS,Male,5,Right,4,52,Employed not mat dep,-1.036745435,-3.066886101,-0.314963106,Asian/Asian British,Pakistani
96,PSY,Female,19,Right,8,106,Benefits but coping,0.16718437,NA,0.21619453,NA,NA
97,PSY,Male,5,Right,8,100,Benefits but coping,0.660094132,0.574317061,0.267486794,Asian/Asian British,Pakistani
98,SS,Male,5,Right,4,52,Benefits but coping,-1.383249266,-2.249963353,-0.10814776,Asian/Asian British,Pakistani
99,PSY,Female,5,Right,7,87,Benefits but coping,0.644502738,-0.278869703,0.314820616,Asian/Asian British,Pakistani
100,PSY,Female,5,Right,7,92,Employed no access to money,-0.786536768,-0.519634091,0.14042433,Asian/Asian British,Pakistani
101,PSY,Female,5,Right,9,110,Benefits but coping,0.428288638,NA,0.383065222,Asian/Asian British,Pakistani
102,SS,Female,5,Right,5,62,Benefits but coping,-1.766171337,-0.960334311,-0.385343893,Asian/Asian British,Pakistani
103,PSY,Male,13,Right,7,95,Benefits but coping,0.549107481,0.321813499,-0.09985204,Mixed,Other
104,PSY,Female,5,Right,7,90,Least dep and most educated,0.055610442,-0.085321473,0.185742813,Asian/Asian British,Pakistani
105,PSY,Male,5,Right,8,98,Employed no access to money,0.45624963,0.747389154,0.264455127,Asian/Asian British,Pakistani
106,PSY,Male,5,Left,8,105,Benefits but coping,0.471454399,0.303712201,0.239619016,Asian/Asian British,Pakistani
107,SS,Male,5,Left,4,56,Benefits but coping,-1.93777274,-0.11574386,0.012369252,Asian/Asian British,Pakistani
108,PSY,Female,5,Left,7,88,Benefits but coping,-0.010313111,0.08883305,0.314477427,Asian/Asian British,Pakistani
109,PSY,Female,5,Right,8,107,Benefits but coping,0.592478614,0.73062948,0.361687496,Asian/Asian British,Pakistani
110,SS,Female,5,Right,4,59,Benefits but coping,-0.286185103,NA,0.053510612,Asian/Asian British,Pakistani
111,PSY,Female,5,Right,7,91,Employed not mat dep,-0.4084819,0.270380645,0.348050625,Asian/Asian British,Pakistani
112,PSY,Female,5,Right,7,93,Benefits but coping,0.572842329,0.162573882,0.114200798,Asian/Asian British,Pakistani
113,PSY,Male,5,Right,8,99,Employed no access to money,0.608522525,-0.046093334,0.207387677,Asian/Asian British,Pakistani
114,PSY,Male,7,Right,8,103,Least dep and most educated,-0.65604075,0.429820049,-0.33977946,Asian/Asian British,Other
115,SS,Male,7,Right,4,55,Least dep and most educated,-0.317675875,-2.805590676,0.044328773,Asian/Asian British,Other
116,PSY,Male,5,Right,7,92,Most dep,0.310949036,-0.479088786,0.247315892,Asian/Asian British,Pakistani
117,PSY,Male,5,Right,7,87,Employed no access to money,-0.13791612,0.252081283,0.043463777,Asian/Asian British,Pakistani
118,PSY,Female,19,Right,8,105,Benefits but coping,0.594767558,0.471190587,0.385562171,NA,NA
119,PSY,Male,5,Left,7,94,Employed no access to money,0.286681382,0.444836931,0.099442585,Asian/Asian British,Pakistani
120,PSY,Female,5,Right,7,93,Benefits but coping,0.073843252,NA,0.107190406,Asian/Asian British,Pakistani
121,PSY,Male,5,Right,8,97,Benefits but coping,0.299867838,0.708003816,0.118004823,Asian/Asian British,Pakistani
122,PSY,Female,5,Right,7,87,Least dep and most educated,0.311546472,-0.071442193,0.003908901,Asian/Asian British,Pakistani
123,PSY,Female,5,Right,8,105,Benefits but coping,-0.250177434,0.353646295,0.478009831,Asian/Asian British,Pakistani
124,SS,Female,5,Right,4,57,Benefits but coping,-2.113925228,NA,-0.233481242,Asian/Asian British,Pakistani
125,PSY,Male,5,Left,8,103,Benefits but coping,-0.454891493,0.679307631,0.169141831,Asian/Asian British,Pakistani
126,PSY,Female,5,Right,7,94,Employed no access to money,0.358800432,0.316831814,0.39150995,Asian/Asian British,Pakistani
127,PSY,Male,5,Right,8,103,Most dep,0.735494081,0.319458966,0.183412036,Asian/Asian British,Pakistani
128,SS,Male,5,Right,4,55,Most dep,-0.127699743,-0.647120658,-0.052917363,Asian/Asian British,Pakistani
129,PSY,Female,7,Right,8,104,Employed not mat dep,0.69409811,0.559708762,0.335054336,Asian/Asian British,Other
130,SS,Female,7,Right,4,56,Employed not mat dep,-0.547327162,-0.222895229,0.003693003,Asian/Asian British,Other
131,PSY,Female,16,Right,8,107,Most dep,0.57921333,0.498718158,0.285252742,Mixed,Other
132,SS,Female,16,Right,4,59,Most dep,-0.502587964,0.253908888,0.217138901,Mixed,Other
133,PSY,Female,5,Right,9,111,Employed no access to money,0.748294851,0.800892953,0.392065749,Asian/Asian British,Pakistani
134,SS,Female,5,Right,5,62,Employed no access to money,0.015539947,-0.129269127,0.241607132,Asian/Asian British,Pakistani
135,PSY,Male,5,Right,8,106,Benefits but coping,0.420778483,NA,-0.060884288,Asian/Asian British,Pakistani
136,SS,Male,5,Right,4,58,Benefits but coping,-2.811705457,-1.590080378,-0.161567827,Asian/Asian British,Pakistani
137,PSY,Female,5,Left,8,103,Employed not mat dep,0.644167089,NA,0.283392149,Asian/Asian British,Pakistani
138,SS,Female,5,Left,4,55,Employed not mat dep,-0.876577935,-0.49658955,-0.071575362,Asian/Asian British,Pakistani
139,PSY,Male,5,Right,8,102,Most dep,0.559532376,0.655338456,0.070945198,Asian/Asian British,Pakistani
140,SS,Male,5,Right,4,54,Most dep,-1.689107713,NA,0.110569519,Asian/Asian British,Pakistani
141,PSY,Male,5,Right,8,107,Benefits but coping,0.320780242,-0.011331505,0.352237036,Asian/Asian British,Pakistani
142,PSY,Male,5,Right,8,103,Most dep,-1.068832426,0.708694664,-0.948355124,Asian/Asian British,Pakistani
143,PSY,Male,5,Right,8,97,Employed not mat dep,-0.301752867,-0.377847684,0.044212422,Asian/Asian British,Pakistani
144,PSY,Female,5,Right,9,115,Least dep and most educated,0.305498066,0.784080628,0.219663852,Asian/Asian British,Pakistani
145,PSY,Female,5,Right,8,106,Benefits but coping,0.274328048,0.378756637,0.389057614,Asian/Asian British,Pakistani
146,PSY,Male,5,Right,7,95,Employed no access to money,-0.204447429,NA,-0.504697589,Asian/Asian British,Pakistani
147,PSY,Female,6,Right,8,103,Benefits but coping,0.711024479,0.716706801,0.301745067,Asian/Asian British,Other
148,PSY,Female,5,Right,9,115,Most dep,-0.574607393,0.370528816,-0.010775395,Asian/Asian British,Pakistani
149,PSY,Female,5,Right,8,97,Benefits but coping,-0.273368014,-0.877912542,-0.042839598,Asian/Asian British,Pakistani
150,PSY,Male,5,Right,7,92,Least dep and most educated,0.532097459,0.374924725,0.224245357,Asian/Asian British,Pakistani
151,PSY,Female,5,Right,8,96,Most dep,0.666041848,0.714770383,0.301865274,Asian/Asian British,Pakistani
152,PSY,Female,5,Right,8,98,Benefits but coping,0.279413571,0.672659422,0.112632307,Asian/Asian British,Pakistani
153,PSY,Female,5,Right,9,116,Benefits but coping,0.158766065,NA,0.047828629,Asian/Asian British,Pakistani
154,PSY,Female,5,Right,9,112,Benefits but coping,0.517029583,0.567488483,0.258536854,Asian/Asian British,Pakistani
155,PSY,Female,13,Right,8,101,Most dep,-0.045818091,0.018615887,0.062119535,Mixed,Other
156,PSY,Female,6,Right,8,97,Benefits but coping,0.416075349,NA,0.336672922,Asian/Asian British,Other
157,PSY,Male,5,Right,7,92,Benefits but coping,-0.475415687,-0.157157323,-0.021019783,Asian/Asian British,Pakistani
158,PSY,Female,5,Right,8,101,Employed no access to money,0.513431158,0.536045991,0.396530013,Asian/Asian British,Pakistani
159,PSY,Male,5,Left,8,99,Benefits but coping,-0.041903095,-0.108938924,0.106395824,Asian/Asian British,Pakistani
160,PSY,Female,5,Right,8,99,Benefits but coping,0.365833028,0.138179737,0.320206563,Asian/Asian British,Pakistani
161,PSY,Male,5,Right,9,114,Least dep and most educated,0.516451244,0.531500435,0.206931233,Asian/Asian British,Pakistani
162,PSY,Male,5,Right,8,107,Benefits but coping,0.239610504,NA,0.136192459,Asian/Asian British,Pakistani
163,PSY,Male,5,Left,8,105,Most dep,0.573866796,NA,0.251668628,Asian/Asian British,Pakistani
164,PSY,Male,5,Right,9,113,Benefits but coping,0.380026424,0.130082935,0.205278075,Asian/Asian British,Pakistani
165,SS,Male,5,Right,5,65,Benefits but coping,-0.338724149,NA,-0.068926108,Asian/Asian British,Pakistani
166,PSY,Male,5,Right,9,117,Employed no access to money,-0.050556646,0.436204312,0.199147055,Asian/Asian British,Pakistani
167,PSY,Female,5,Right,8,104,Benefits but coping,-0.236265617,0.621685082,-0.52935343,Asian/Asian British,Pakistani
168,PSY,Female,7,Right,8,102,Employed no access to money,-0.212611871,1.525057497,-0.3061488,Asian/Asian British,Other
169,SS,Female,7,Right,5,68,Employed no access to money,-2.061868222,-1.50936022,-0.878365823,Asian/Asian British,Other
170,PSY,Female,5,Right,9,109,Benefits but coping,0.400970379,0.595649907,0.269506755,Asian/Asian British,Pakistani
171,PSY,Female,5,Right,8,105,Benefits but coping,0.251960998,0.736104782,0.40833521,Asian/Asian British,Pakistani
172,PSY,Female,5,Right,8,97,Benefits but coping,0.265551436,0.584386159,0.118838313,Asian/Asian British,Pakistani
173,SS,Female,5,Right,5,63,Benefits but coping,-1.382361865,-0.059758316,-0.05142361,Asian/Asian British,Pakistani
174,PSY,Female,5,Right,8,100,Most dep,0.28352211,0.454581269,0.04502014,Asian/Asian British,Pakistani
175,SS,Female,5,Right,5,66,Most dep,-0.060622143,NA,0.076839487,Asian/Asian British,Pakistani
176,PSY,Female,5,Right,7,92,Benefits but coping,0.402805552,-0.06526314,-0.306574914,Asian/Asian British,Pakistani
177,PSY,Male,5,Right,8,104,Employed not mat dep,-0.224775729,0.668041333,-0.074479118,Asian/Asian British,Pakistani
178,PSY,Female,5,Right,8,106,Benefits but coping,0.089290841,0.329757255,0.023943232,Asian/Asian British,Pakistani
179,PSY,Male,5,Right,8,103,Least dep and most educated,0.553046151,0.54489874,0.333279172,Asian/Asian British,Pakistani
180,PSY,Male,5,Right,7,89,Employed no access to money,0.227287173,NA,0.151600213,Asian/Asian British,Pakistani
181,PSY,Male,5,Right,7,91,Least dep and most educated,0.542374909,0.375415323,0.324988278,Asian/Asian British,Pakistani
182,PSY,Female,5,Right,7,94,Most dep,0.035688488,0.422345212,-0.284956006,Asian/Asian British,Pakistani
183,PSY,Female,5,Right,7,91,Employed no access to money,0.629439185,0.615806982,0.100275635,Asian/Asian British,Pakistani
184,SS,Female,5,Right,4,57,Employed no access to money,-1.424837285,NA,0.151821503,Asian/Asian British,Pakistani
185,PSY,Male,6,Right,8,106,Benefits but coping,0.476719277,0.711915209,0.134329048,Asian/Asian British,Other
186,PSY,Female,5,Right,8,104,Benefits but coping,0.413629142,1.287961892,-0.112324956,Asian/Asian British,Pakistani
187,PSY,Male,6,Left,7,87,Most dep,0.530373777,0.523696274,0.171137948,Asian/Asian British,Other
188,PSY,Female,6,Right,7,89,Employed not mat dep,0.574169766,0.096338472,0.190996091,Asian/Asian British,Other
189,PSY,Female,5,Right,7,90,Least dep and most educated,0.190442008,-0.264470096,-0.967769006,Asian/Asian British,Pakistani
190,PSY,Male,5,Right,8,97,Employed not mat dep,0.01226851,NA,0.29994761,Asian/Asian British,Pakistani
191,PSY,Male,5,Right,8,106,Benefits but coping,0.39863988,NA,-0.189195786,Asian/Asian British,Pakistani
192,PSY,Female,5,Left,7,95,Least dep and most educated,0.55061067,0.212665735,0.172682706,Asian/Asian British,Pakistani
193,PSY,Male,5,Right,7,90,Employed no access to money,0.594934835,0.321914854,0.069880172,Asian/Asian British,Pakistani
194,PSY,Male,7,Right,8,104,Employed not mat dep,0.21746818,NA,0.15906885,Asian/Asian British,Other
195,PSY,Female,5,Right,8,98,Benefits but coping,0.012371054,NA,0.136301055,Asian/Asian British,Pakistani
196,SS,Female,5,Right,5,64,Benefits but coping,-0.842977198,-0.548476718,-0.359104612,Asian/Asian British,Pakistani
197,PSY,Male,5,Right,8,103,Least dep and most educated,0.569722628,0.224435009,0.415967418,Asian/Asian British,Pakistani
198,PSY,Female,5,Right,8,103,Least dep and most educated,0.450486117,0.67477163,-0.090238188,Asian/Asian British,Pakistani
199,PSY,Female,5,Right,7,95,Benefits but coping,-0.113786543,-0.34524829,-1.626521425,Asian/Asian British,Pakistani
200,SS,Female,5,Right,5,61,Benefits but coping,-3.977434679,-1.484532094,-0.666777815,Asian/Asian British,Pakistani
201,PSY,Male,7,Right,8,102,Employed no access to money,0.258186523,0.516101498,0.121816957,Asian/Asian British,Other
202,SS,Male,7,Right,5,68,Employed no access to money,-1.865334756,0.040180466,0.313315028,Asian/Asian British,Other
203,PSY,Male,5,Right,9,110,Most dep,-0.295336102,-0.006922582,-0.419563088,Asian/Asian British,Pakistani
204,PSY,Female,5,Right,8,106,Most dep,0.442051296,0.67568516,0.049170962,Asian/Asian British,Pakistani
205,PSY,Male,5,Left,8,100,Benefits but coping,0.27865548,0.322207927,0.325956651,Asian/Asian British,Pakistani
206,SS,Male,5,Left,5,66,Benefits but coping,-0.478261314,-0.7221687,-0.087205138,Asian/Asian British,Pakistani
207,PSY,Female,6,Right,7,93,Most dep,0.123933524,NA,0.01530502,Asian/Asian British,Other
208,PSY,Male,6,Right,8,100,Benefits but coping,0.47834454,0.034518413,0.232392428,Asian/Asian British,Other
209,SS,Male,6,Right,5,66,Benefits but coping,-0.899182618,NA,-0.191514863,Asian/Asian British,Other
210,PSY,Male,5,Right,7,90,Employed no access to money,0.042489017,-0.118763014,0.186620501,Asian/Asian British,Pakistani
211,PSY,Male,5,Right,7,88,Benefits but coping,0.612688898,NA,-0.282811725,Asian/Asian British,Pakistani
212,PSY,Female,5,Right,7,93,Benefits but coping,0.41106079,-0.288956014,-0.400503151,Asian/Asian British,Pakistani
213,PSY,Female,5,Right,8,98,Employed not mat dep,0.430128051,0.00585128,0.079847234,Asian/Asian British,Pakistani
214,PSY,Male,5,Right,8,102,Benefits but coping,0.436704569,0.236419412,0.196116491,Asian/Asian British,Pakistani
215,PSY,Male,5,Right,9,111,Least dep and most educated,0.315278078,0.378131108,0.097224789,Asian/Asian British,Pakistani
216,PSY,Male,5,Right,8,105,Benefits but coping,0.592945727,0.488450307,-0.06651959,Asian/Asian British,Pakistani
217,PSY,Male,5,Right,9,112,Most dep,0.141451715,-1.183741147,-0.524314106,Asian/Asian British,Pakistani
218,PSY,Female,5,Right,8,100,Benefits but coping,0.298764342,-0.089244713,-0.456309191,Asian/Asian British,Pakistani
219,SS,Female,5,Right,5,66,Benefits but coping,-0.309249146,NA,-0.826295784,Asian/Asian British,Pakistani
220,PSY,Male,6,Right,7,95,Benefits but coping,0.36227125,-0.140298793,0.198713716,Asian/Asian British,Other
221,PSY,Female,5,Right,8,98,Benefits but coping,0.29605004,0.206149706,0.355765917,Asian/Asian British,Pakistani
222,PSY,Female,5,Right,7,91,Employed no access to money,0.384380565,-0.009894938,-0.561369801,Asian/Asian British,Pakistani
223,PSY,Male,5,Right,7,95,Benefits but coping,-1.145629624,0.481192155,-0.441493123,Asian/Asian British,Pakistani
224,SS,Male,5,Right,4,57,Benefits but coping,-1.802229543,-1.471628335,-0.423154473,Asian/Asian British,Pakistani
225,PSY,Male,5,Left,9,110,Employed no access to money,0.423931816,0.593586411,0.351312323,Asian/Asian British,Pakistani
226,SS,Male,5,Left,5,65,Employed no access to money,0.218240542,-0.163295216,-0.335526886,Asian/Asian British,Pakistani
227,PSY,Male,5,Right,8,105,Benefits but coping,0.344293805,0.306257634,-0.316381319,Asian/Asian British,Pakistani
228,SS,Male,5,Right,5,60,Benefits but coping,0.268051451,-0.755482384,-0.610044461,Asian/Asian British,Pakistani
229,PSY,Female,5,Right,8,102,Benefits but coping,0.539846908,0.360006022,0.241754692,Asian/Asian British,Pakistani
230,SS,Female,5,Right,4,56,Benefits but coping,-0.101074478,-0.233618053,-0.075864384,Asian/Asian British,Pakistani
231,PSY,Female,5,Right,7,94,Least dep and most educated,0.664032329,0.587093584,0.130634621,Asian/Asian British,Pakistani
232,SS,Female,5,Right,4,56,Least dep and most educated,-0.113080769,-0.509665697,0.003694119,Asian/Asian British,Pakistani
233,PSY,Male,5,Right,8,99,Most dep,0.355494323,0.351024535,0.355070559,Asian/Asian British,Pakistani
234,SS,Male,5,Right,4,54,Most dep,-0.382798562,-2.961528395,-0.449599871,Asian/Asian British,Pakistani
235,PSY,Female,5,Right,8,100,Employed not mat dep,-0.892936322,-0.280365818,-0.365838877,Asian/Asian British,Pakistani
236,SS,Female,5,Right,5,64,Employed not mat dep,-0.319625115,-0.400967847,-0.163423318,Asian/Asian British,Pakistani
